Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Notes,RPE
2026-04-08,Legs 🐓 ,28m,Hip Adductor (Machine),F,105.0,6.0,1x8-10(F),10.0
2026-04-09,Shoulders🪨,39m,Cable Crunch,F,75.0,8.0,"3x8-10, 3 mins",10.0
2026-04-09,Shoulders🪨,39m,Cable Crunch,F,75.0,8.0,,10.0
2026-04-09,Shoulders🪨,39m,Cable Crunch,F,65.0,10.0,,10.0
2026-04-09,Shoulders🪨,39m,Arsenal Strength Shoulder Press (Machine),W,18.0,10.0,"2x6-8(F), 3 mins",
2026-04-09,Shoulders🪨,39m,Arsenal Strength Shoulder Press (Machine),W,43.0,8.0,,
2026-04-09,Shoulders🪨,39m,Arsenal Strength Shoulder Press (Machine),F,108.0,8.0,,10.0
2026-04-09,Shoulders🪨,39m,Arsenal Strength Shoulder Press (Machine),F,113.0,5.0,,10.0
2026-04-09,Shoulders🪨,39m,Arsenal Strength Lateral Raise (Machine),F,85.0,8.0,"2x8-10(F), 3 mins",10.0
2026-04-09,Shoulders🪨,39m,Arsenal Strength Lateral Raise (Machine),F,80.0,8.0,,10.0
2026-04-09,Shoulders🪨,39m,Rear Delt Fly (Cable),F,22.5,7.0,"2x8-10(F), 3 mins",10.0
2026-04-13,Chest & Biceps🃏,50m,Single Arm Preacher Curl (Machine),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-04-13,Chest & Biceps🃏,50m,Single Arm Preacher Curl (Machine),F,75.0,7.0,,10.0
2026-04-13,Chest & Biceps🃏,50m,Single Arm Preacher Curl (Machine),F,70.0,6.0,,10.0
2026-04-13,Chest & Biceps🃏,50m,Incline Bench Press (Smith Machine),W,20.0,10.0,"2x6-8(F), 4 mins",
2026-04-13,Chest & Biceps🃏,50m,Incline Bench Press (Smith Machine),W,110.0,5.0,,
2026-04-13,Chest & Biceps🃏,50m,Incline Bench Press (Smith Machine),F,165.0,8.0,,10.0
2026-04-13,Chest & Biceps🃏,50m,Incline Bench Press (Smith Machine),F,170.0,3.0,,10.0
2026-04-13,Chest & Biceps🃏,50m,Forearm Curl (Cable),F,65.0,8.0,"2x6-8(F), 3 mins",10.0
2026-04-13,Chest & Biceps🃏,50m,Forearm Curl (Cable),F,70.0,6.0,,10.0
2026-04-13,Chest & Biceps🃏,50m,Arsenal Strength Chest Fly (Machine),F,250.0,9.0,"2x8-10(F), 3 mins",10.0
2026-04-13,Chest & Biceps🃏,50m,Arsenal Strength Chest Fly (Machine),F,220.0,6.0,,10.0
2026-04-14,Back & Triceps✝️,43m,Lat Pulldown - Wide Grip (Cable),W,100.0,8.0,"2x6-8(F), 4 mins",
2026-04-14,Back & Triceps✝️,43m,Lat Pulldown - Wide Grip (Cable),F,170.0,6.0,,10.0
